trial_id,layout_index,initial_sigma,repeat_index,offset_x,offset_y,in_sample,gap_bin,gap_percent,n_candidates,method,tolerance,finite,visited_count,success,worst_distance,path_length,first_visit_order,order_ambiguous,order_in_nominal_candidate_set,target_1_distance,target_2_distance,target_3_distance,target_4_distance
0,3,0.0,0,0.0,0.0,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.012263193623372363,1.3603689535614345,2→1→4→3,False,True,0.012263193623372363,0.004820845369419736,0.0029332038706865625,0.00172080082863333
0,3,0.0,0,0.0,0.0,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.012263193623372363,1.3603689535614345,2→1→4→3,False,True,0.012263193623372363,0.004820845369419736,0.0029332038706865625,0.00172080082863333
1,3,0.01,0,-0.008012202434156424,-0.0033718226512334444,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.011912644027201711,1.361259014595539,2→1→4→3,False,True,0.011912644027201711,0.0017872876002191752,0.003281299752562245,0.0022916233592297857
1,3,0.01,0,-0.008012202434156424,-0.0033718226512334444,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.011912644027201711,1.361259014595539,2→1→4→3,False,True,0.011912644027201711,0.0017872876002191752,0.003281299752562245,0.0022916233592297857
2,3,0.01,1,-0.006886102622983228,0.013050634683610124,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.015220517608159132,1.3505389860002404,2→1→4→3,False,True,0.015220517608159132,0.005682084742240959,0.004407283840991431,0.0048024782441354365
2,3,0.01,1,-0.006886102622983228,0.013050634683610124,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.015220517608159132,1.3505389860002404,2→1→4→3,False,True,0.015220517608159132,0.005682084742240959,0.004407283840991431,0.0048024782441354365
3,3,0.01,2,0.015068933697071046,0.004557405736105235,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.012512440882010123,1.3599747997630764,2→1→4→3,False,True,0.012512440882010123,0.010088286651893066,0.0021486485446813664,0.0005498643187510939
3,3,0.01,2,0.015068933697071046,0.004557405736105235,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.012512440882010123,1.3599747997630764,2→1→4→3,False,True,0.012512440882010123,0.010088286651893066,0.0021486485446813664,0.0005498643187510939
4,3,0.01,3,0.017589722165507148,0.00416232186825758,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.012297389524597418,1.3606739266050458,2→1→4→3,False,True,0.012297389524597418,0.010712138529599267,0.0019343808980356895,0.0001809959016167285
4,3,0.01,3,0.017589722165507148,0.00416232186825758,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.012297389524597418,1.3606739266050458,2→1→4→3,False,True,0.012297389524597418,0.010712138529599267,0.0019343808980356895,0.0001809959016167285
5,3,0.01,4,-0.00047960985988369304,0.00657574110819514,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.013633454552277458,1.3559389915619267,2→1→4→3,False,True,0.013633454552277458,0.006136890349786633,0.003449420733417519,0.002858660931953269
5,3,0.01,4,-0.00047960985988369304,0.00657574110819514,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.013633454552277458,1.3559389915619267,2→1→4→3,False,True,0.013633454552277458,0.006136890349786633,0.003449420733417519,0.002858660931953269
6,3,0.01,5,-0.015055134327006102,-0.00764284084793394,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.011336348398408485,1.3629535231296261,2→1→4→3,False,True,0.011336348398408485,0.001178684399064673,0.0034911892158342255,0.0026257637155942238
6,3,0.01,5,-0.015055134327006102,-0.00764284084793394,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.011336348398408485,1.3629535231296261,2→1→4→3,False,True,0.011336348398408485,0.001178684399064673,0.0034911892158342255,0.0026257637155942238
7,3,0.01,6,-0.005120747084111222,0.0073168727781957885,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.013979075240693641,1.3546458268567303,2→1→4→3,False,True,0.013979075240693641,0.004957933979420874,0.0038497578911297426,0.0036169186486626095
7,3,0.01,6,-0.005120747084111222,0.0073168727781957885,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.013979075240693641,1.3546458268567303,2→1→4→3,False,True,0.013979075240693641,0.004957933979420874,0.0038497578911297426,0.0036169186486626095
8,3,0.01,7,-0.001967928747486524,0.019652352097213707,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.016363190759890886,1.3470470245693569,2→1→4→3,False,True,0.016363190759890886,0.008550940972914003,0.004533710789805884,0.005212970689994642
8,3,0.01,7,-0.001967928747486524,0.019652352097213707,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.016363190759890886,1.3470470245693569,2→1→4→3,False,True,0.016363190759890886,0.008550940972914003,0.004533710789805884,0.005212970689994642
9,3,0.01,8,0.01186821236204282,0.0033815189156039226,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.012423832968504326,1.360184832721221,2→1→4→3,False,True,0.012423832968504326,0.00892459355560454,0.002300106572893477,0.0007353532088730562
9,3,0.01,8,0.01186821236204282,0.0033815189156039226,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.012423832968504326,1.360184832721221,2→1→4→3,False,True,0.012423832968504326,0.00892459355560454,0.002300106572893477,0.0007353532088730562
10,3,0.01,9,0.0011505149030710533,-0.009625017651114393,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.010224437905346355,1.366933205487623,2→1→4→3,False,True,0.010224437905346355,0.0030392890530344377,0.0021571630584331695,5.133313676690094e-06
10,3,0.01,9,0.0011505149030710533,-0.009625017651114393,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.010224437905346355,1.366933205487623,2→1→4→3,False,True,0.010224437905346355,0.0030392890530344377,0.0021571630584331695,5.133313676690094e-06
11,3,0.01,10,-0.008001644496419002,0.005607766765129474,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.013750241793303064,1.355285558022658,2→1→4→3,False,True,0.013750241793303064,0.0037480324588307612,0.0039381958571625105,0.0037368089705201997
11,3,0.01,10,-0.008001644496419002,0.005607766765129474,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.013750241793303064,1.355285558022658,2→1→4→3,False,True,0.013750241793303064,0.0037480324588307612,0.0039381958571625105,0.0037368089705201997
12,3,0.01,11,-0.005138485894271163,0.02873660363851579,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.01832818895201047,1.3404903134382398,2→1→4→3,False,True,0.01832818895201047,0.009577962843660333,0.0054590538676965745,0.0071542421663013155
12,3,0.01,11,-0.005138485894271163,0.02873660363851579,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.01832818895201047,1.3404903134382398,2→1→4→3,False,True,0.01832818895201047,0.009577962843660333,0.0054590538676965745,0.0071542421663013155
13,3,0.01,12,0.0014817312582227622,-0.00023988335951168044,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.012149890735525982,1.3607795895082813,2→1→4→3,False,True,0.012149890735525982,0.005188052528844341,0.002806177563712727,0.0014785883906614158
13,3,0.01,12,0.0014817312582227622,-0.00023988335951168044,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.012149890735525982,1.3607795895082813,2→1→4→3,False,True,0.012149890735525982,0.005188052528844341,0.002806177563712727,0.0014785883906614158
14,3,0.01,13,0.011188461427124364,0.0003963283830844185,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.011836540437520809,1.3620225395322292,2→1→4→3,False,True,0.011836540437520809,0.008077140225293133,0.0021353253491771325,0.00031872673972733415
14,3,0.01,13,0.011188461427124364,0.0003963283830844185,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.011836540437520809,1.3620225395322292,2→1→4→3,False,True,0.011836540437520809,0.008077140225293133,0.0021353253491771325,0.00031872673972733415
15,3,0.01,14,-0.012067183423443918,0.00994695191312355,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.0148020931883698,1.3517030964607988,2→1→4→3,False,True,0.0148020931883698,0.003487290369196568,0.0045625457773467324,0.0050262086470721995
15,3,0.01,14,-0.012067183423443918,0.00994695191312355,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.0148020931883698,1.3517030964607988,2→1→4→3,False,True,0.0148020931883698,0.003487290369196568,0.0045625457773467324,0.0050262086470721995
16,3,0.01,15,-0.003796278115433177,0.00237609431684628,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.012914650271137444,1.3581488844916108,2→1→4→3,False,True,0.012914650271137444,0.004261436901759605,0.003387923208702851,0.002625949049025141
16,3,0.01,15,-0.003796278115433177,0.00237609431684628,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.012914650271137444,1.3581488844916108,2→1→4→3,False,True,0.012914650271137444,0.004261436901759605,0.003387923208702851,0.002625949049025141
17,3,0.01,16,0.010832094478477952,-0.01903430753023943,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.007790203541690423,1.3747261011598129,2→1→4→3,False,True,0.007790203541690423,0.004656385808447982,0.0007989963124924431,0.002793317736073911
17,3,0.01,16,0.010832094478477952,-0.01903430753023943,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.007790203541690423,1.3747261011598129,2→1→4→3,False,True,0.007790203541690423,0.004656385808447982,0.0007989963124924431,0.002793317736073911
18,3,0.01,17,-0.0008114365755960317,0.008824500699858998,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.014107727212589826,1.3543956975617246,2→1→4→3,False,True,0.014107727212589826,0.00653578605525236,0.0036399102722796703,0.003272228745374743
18,3,0.01,17,-0.0008114365755960317,0.008824500699858998,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.014107727212589826,1.3543956975617246,2→1→4→3,False,True,0.014107727212589826,0.00653578605525236,0.0036399102722796703,0.003272228745374743
19,3,0.01,18,0.012686795069843526,-0.010094694038534,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.009566798718692327,1.3691554808728883,2→1→4→3,False,True,0.009566798718692327,0.0064463309392774485,0.0012829791065812949,0.0015803606750383664
19,3,0.01,18,0.012686795069843526,-0.010094694038534,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.009566798718692327,1.3691554808728883,2→1→4→3,False,True,0.009566798718692327,0.0064463309392774485,0.0012829791065812949,0.0015803606750383664
20,3,0.01,19,-0.015335221898082547,-0.011868920569632404,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.01048114756643122,1.3657427559876099,2→1→4→3,False,True,0.01048114756643122,0.0021809679191552916,0.0032065222027979176,0.0019981114974623264
20,3,0.01,19,-0.015335221898082547,-0.011868920569632404,True,≥10%,14.195852215374183,1,learned_single,0.05,True,4,True,0.01048114756643122,1.3657427559876099,2→1→4→3,False,True,0.01048114756643122,0.0021809679191552916,0.0032065222027979176,0.0019981114974623264
21,3,0.05,0,-0.04006101217078212,-0.01685911325616722,True,≥10%,14.195852215374183,1,learned_single,0.02,True,4,True,0.01055268131460872,1.3652726602076712,2→1→4→3,False,True,0.01055268131460872,0.010530922848000257,0.00464962702995574,0.004864625395005871
